cognome,nome,partecipazioni_in_noco,mancanti_nel_catalogo_attuale,percentuale_mancante,tipo_perdita
DI LUZIO,GABRIELLA,7,1,14.3,parziale
DIMITRI,ANNA,3,1,33.3,parziale
FERRARO,VALENTINO,2,1,50.0,parziale
FRIONI,CECILIA,10,1,10.0,parziale
GENTILE,GAETANO,5,1,20.0,parziale
GIUFFREDA,LUIGI,10,1,10.0,parziale
GORIA,AMEDEO MARIA,6,1,16.7,parziale
GRILLO,GIORGIA,1,1,100.0,totale
MANCIAGLI,CHIARA,1,1,100.0,totale
MASSA,MARTINA,2,1,50.0,parziale
MASTELLONI,LEOPOLDO,20,1,5.0,parziale
MAURO,GIOVANNI,2,1,50.0,parziale
MEZZETTI MATTEI,DANILO,20,1,5.0,parziale
MONTICELLI,MARIA,37,1,2.7,parziale
MORONI,DINO,7,1,14.3,parziale
MOSETTI,ANTONELLA,9,1,11.1,parziale
McNAMARA,WILLIAM WEST,164,1,0.6,parziale
ORLANDI,GIADA,22,1,4.5,parziale
PACE,PAOLA,9,1,11.1,parziale
PAGANINI,ALFONSO,3,1,33.3,parziale
PARODI,MARIO,22,1,4.5,parziale
PELOROSSO,GIANCARLO,4,1,25.0,parziale
PERRELLA,MARIANO,1,1,100.0,totale
PISELLI,MARIA LUISA,3,1,33.3,parziale
SANPITER,IRINA,12,1,8.3,parziale
SANZO',ROBERTA,22,1,4.5,parziale
SPERANDEO,GAETANO,231,1,0.4,parziale
THEODOSOPOULOS,KONSTANTINOS,278,1,0.4,parziale
TRAVERSA,FABRIZIO,76,1,1.3,parziale
WILCOX,LISA ELIZABETH,72,1,1.4,parziale
ZITO,GIACOMO,9,1,11.1,parziale
